Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households,Built up area,Nearby Sectors
RG13 2,51.409,-1.30809,448221,168002,SU482680,228,0,,,Newbury,"RG14 2, RG14 5, RG13 1, RG14 1, RG14 9, RG14 7, RG14 3, RG13 3, RG14 6, RG18 3"
RG13 3,51.4076,-1.26784,451022,167874,SU510678,124,0,,,Thatcham,"RG18 3, RG13 4, RG19 3, RG18 4, RG19 4, RG16 9, RG13 2, RG18 9, RG14 2, RG19 8"
RG13 4,51.4015,-1.25615,451842,167203,SU518672,391,0,,,Thatcham,"RG18 3, RG19 3, RG13 3, RG19 4, RG18 4, RG19 8, RG19 6, RG18 9, RG15 8, RG16 9"
RG14 1,51.4061,-1.32843,446809,167667,SU468676,350,239,6301,2945,Newbury,"RG13 1, RG14 5, RG14 2, RG14 3, RG13 2, RG14 7, RG14 6, RG14 9, RG13 3, RG20 8"
RG14 2,51.4096,-1.30991,448093,168068,SU480680,316,233,8363,3488,Newbury,"RG13 2, RG14 5, RG13 1, RG14 1, RG14 9, RG14 7, RG14 3, RG13 3, RG14 6, RG18 3"
RG14 3,51.4277,-1.32792,446822,170069,SU468700,41,37,601,159,Newbury,"RG13 1, RG14 1, RG14 2, RG14 5, RG13 2, RG14 7, RG20 8, RG14 9, RG14 6, RG16 8"
RG14 5,51.3997,-1.3196,447430,166960,SU474669,375,223,4430,2152,Newbury,"RG14 7, RG14 9, RG14 1, RG13 1, RG14 2, RG13 2, RG14 6, RG14 3, RG13 3, RG13 4"
RG14 6,51.3871,-1.33924,446076,165547,SU460655,284,208,8417,3388,Newbury,"RG14 7, RG14 9, RG14 1, RG13 1, RG14 5, RG20 9, RG14 2, RG14 3, RG13 2, RG15 9"
RG14 7,51.3922,-1.31706,447614,166128,SU476661,391,292,9586,4192,Newbury,"RG14 9, RG14 5, RG14 2, RG14 1, RG13 2, RG13 1, RG14 6, RG14 3, RG13 3, RG13 4"
RG14 9,51.3912,-1.31358,447857,166019,SU478660,308,64,,,Newbury,"RG14 7, RG14 5, RG14 2, RG13 2, RG14 6, RG14 1, RG13 1, RG14 3, RG13 3, RG13 4"
